" Copy","Kopieren"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Section","Bereich Newsletter"
"Newsletter Sign-up","Newsletter-Anmeldung"
"Newsletter Subscribers","Newsletter-Empfänger"
"Newsletter Subscription","Newsletter-Anmeldung"
"Newsletter Subscriptions","Newsletter-Anmeldungen"
"Newsletter Templates","Newsletter-Vorlagen"
"Newsletter subscription confirmation","Newsletter-Anmeldungsbestätigung"
"Newsletter subscription success","Erfolgreiche Newsletter-Anmeldung"
"Newsletter unsubscription success","Erfolgreiche Newsletter-Abmeldung"
"No Templates Found","Keine Vorlagen gefunden"
"No problems found","Keine Probleme gefunden"
"No subscribers selected","Keine Abonnenten ausgewählt"
"Not Sent","Nicht gesendet"
"Not activated","Nicht aktiviert"
"Pause","Pause"
"Paused","Pausiert"
"Please enter a valid email address","Bitte eine gültige E-Mail-Adresse eingeben"
"Please enter new template name","Bitte neuen Vorlagenname eingeben"
"Please select subscriber(s)","Bitte Abonnenten auswählen"
"Preview","Vorschau"
"Preview Template","Vorlagenvorschau"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange gestartet am"
"Queue Finish","Warteschlange abgeschlossen"
"Queue Information","Warteschlangen-Information"
"Queue Newsletter","Warteschlangen-Newsletter"
"Queue Start","Start der Warteschlange"
"Queue Subject","Betreff der Warteschlange"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
"Resume","Wiederaufnehmen"
"Return Html Version","HTML-Version ausgeben"
"Save And Resume","Speichern und fortsetzen"
"Save As","Speichern unter"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Selected problem subscribers successfully unsubscribed","Ausgewählte Problem-Abonnenten erfolgreich abgemeldet"
"Selected problems successfully deleted","Ausgewählte Probleme gelöscht"
"Sender","Absender"
"Sender Email","Absender-E-Mail-Adresse"
"Sender Name","Absender-Name"
"Sending","Übertrage"
"Sending Options","Sendeoptionen"
"Sent","Übertragen"
"Set Return-Path","Return-Pfad setzen"
"Sign me up","Ich melde mich an"
"Sign up for our newsletter:","Melden Sie sich für unseren Newsletter an:"
"Start","Start"
"Status","Status"
"Store","Shop"
"Store View","Shop-Ansicht"
"Subject","Betreff"
"Subscribe","Anmelden"
"Subscribed","Angemeldet"
"Subscriber","Abonnent"
"Subscribers","Abonnenten"
"Subscribers From","Abonnent von"
"Subscription Options","Abonnements-Optionen"
"Success Email Sender","Absender-E-Mail-Adresse bei Erfolg"
"Success Email Template","E-Mail-Vorlage bei Erfolg"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformation"
"Template Name","Vorlagenname"
"Template Subject","Vorlagenbetreff"
"Template Type","Vorlagentyp"
"Thank you for your subscription","Vielen Dank für Ihre Anmeldung"
"The subscription was successfully saved","Ihre Anmeldung wurde gespeichert"
"There was a problem with the subscription","Beim Anmelden ist ein Problem aufgetreten"
"There was a problem with the subscription: %s","Beim Anmelden ist ein Problem aufgetreten: %s"
"There was a problem with the un-subscription.","Bei der Abmeldung ist ein Problem aufgetreten"
"There was an error while saving your subscription","Fehler beim Speichern Ihrer Anmeldung"
"Toggle Editor","Editor ein-/ausschalten"
"Type","Typ"
"Unsubscribe","Abmelden"
"Unsubscribe Selected","Ausgewählte abmelden"
"Unsubscribed","Abgemeldet"
"Unsubscription Email Sender","E-Mail-Absender bei Abmeldung"
"Unsubscription Email Template","E-Mail-Template für Abmeldung"
"View Newsletter","Newsletter anzeigen"
"Website","Website"
"You have been successfully unsubscribed.","Sie wurden abgemeldet."
"Your subscription was successfully confirmed","Ihre Anmeldung wurde bestätigt"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
